,date,prov_x,deaths,cases,lats,lons,mes
256,2020-03-07,CABA,31.0,1.0,-34.6144934119689,-58.4458563545429,03
257,2020-03-09,CABA,65.0,1.0,-34.6144934119689,-58.4458563545429,03
258,2020-03-10,CABA,76.0,1.0,-34.6144934119689,-58.4458563545429,03
0,2020-03-12,Buenos Aires,56.0,2.0,-36.6769415180527,-60.55883198157189,03
523,2020-03-13,Chaco,16.0,1.0,-26.3864309061226,-60.76583074386029,03
1,2020-03-13,Buenos Aires,56.0,1.0,-36.6769415180527,-60.55883198157189,03
1470,2020-03-14,La Rioja,3.0,2.0,-29.685776298315,-67.18173596944321,03
259,2020-03-15,CABA,107.0,1.0,-34.6144934119689,-58.4458563545429,03
2565,2020-03-15,Santa Fe,25.0,1.0,-30.7069271588117,-60.9498369430241,03
2566,2020-03-16,Santa Fe,35.0,1.0,-30.7069271588117,-60.9498369430241,03
2,2020-03-17,Buenos Aires,85.0,1.0,-36.6769415180527,-60.55883198157189,03
260,2020-03-17,CABA,99.0,3.0,-34.6144934119689,-58.4458563545429,03
261,2020-03-18,CABA,109.0,1.0,-34.6144934119689,-58.4458563545429,03
3,2020-03-19,Buenos Aires,98.0,2.0,-36.6769415180527,-60.55883198157189,03
262,2020-03-19,CABA,111.0,3.0,-34.6144934119689,-58.4458563545429,03
263,2020-03-20,CABA,151.0,1.0,-34.6144934119689,-58.4458563545429,03
264,2020-03-21,CABA,130.0,1.0,-34.6144934119689,-58.4458563545429,03
4,2020-03-21,Buenos Aires,137.0,1.0,-36.6769415180527,-60.55883198157189,03
265,2020-03-22,CABA,106.0,1.0,-34.6144934119689,-58.4458563545429,03
5,2020-03-22,Buenos Aires,120.0,2.0,-36.6769415180527,-60.55883198157189,03
266,2020-03-23,CABA,169.0,1.0,-34.6144934119689,-58.4458563545429,03
2567,2020-03-23,Santa Fe,75.0,1.0,-30.7069271588117,-60.9498369430241,03
267,2020-03-24,CABA,154.0,4.0,-34.6144934119689,-58.4458563545429,03
524,2020-03-24,Chaco,60.0,1.0,-26.3864309061226,-60.76583074386029,03
1471,2020-03-24,La Rioja,2.0,1.0,-29.685776298315,-67.18173596944321,03
6,2020-03-24,Buenos Aires,138.0,3.0,-36.6769415180527,-60.55883198157189,03
525,2020-03-25,Chaco,74.0,4.0,-26.3864309061226,-60.76583074386029,03
906,2020-03-25,Córdoba,89.0,2.0,-32.142932663607,-63.8017532741662,03
