,date,state,deaths,cases
255,2020-03-07,CABA,31.0,1.0
256,2020-03-09,CABA,65.0,1.0
257,2020-03-10,CABA,76.0,1.0
0,2020-03-12,Buenos Aires,56.0,2.0
1,2020-03-13,Buenos Aires,56.0,1.0
521,2020-03-13,Chaco,16.0,1.0
1467,2020-03-14,La Rioja,3.0,2.0
258,2020-03-15,CABA,107.0,1.0
2561,2020-03-15,Santa Fe,25.0,1.0
2562,2020-03-16,Santa Fe,35.0,1.0
2,2020-03-17,Buenos Aires,85.0,1.0
259,2020-03-17,CABA,99.0,3.0
260,2020-03-18,CABA,109.0,1.0
3,2020-03-19,Buenos Aires,98.0,2.0
261,2020-03-19,CABA,111.0,3.0
262,2020-03-20,CABA,151.0,1.0
263,2020-03-21,CABA,130.0,1.0
4,2020-03-21,Buenos Aires,137.0,1.0
264,2020-03-22,CABA,106.0,1.0
5,2020-03-22,Buenos Aires,120.0,2.0
2563,2020-03-23,Santa Fe,75.0,1.0
265,2020-03-23,CABA,169.0,1.0
1468,2020-03-24,La Rioja,2.0,1.0
6,2020-03-24,Buenos Aires,138.0,3.0
522,2020-03-24,Chaco,60.0,1.0
266,2020-03-24,CABA,154.0,4.0
523,2020-03-25,Chaco,74.0,4.0
267,2020-03-25,CABA,166.0,4.0
7,2020-03-25,Buenos Aires,163.0,1.0
903,2020-03-25,Córdoba,89.0,2.0
268,2020-03-26,CABA,165.0,3.0
524,2020-03-26,Chaco,40.0,1.0
752,2020-03-26,Chubut,2.0,1.0
1591,2020-03-26,Mendoza,12.0,1.0
2564,2020-03-26,Santa Fe,45.0,1.0
1858,2020-03-26,Neuquén,15.0,2.0
8,2020-03-26,Buenos Aires,147.0,6.0
269,2020-03-27,CABA,191.0,6.0
1073,2020-03-27,Entre Ríos,15.0,1.0
2817,2020-03-27,Tierra del Fuego,9.0,1.0
1592,2020-03-27,Mendoza,8.0,1.0
9,2020-03-27,Buenos Aires,183.0,5.0
525,2020-03-28,Chaco,32.0,1.0
2726,2020-03-28,Santiago del Estero,4.0,1.0
10,2020-03-28,Buenos Aires,161.0,8.0
270,2020-03-28,CABA,194.0,8.0
271,2020-03-29,CABA,215.0,5.0
904,2020-03-29,Córdoba,76.0,1.0
11,2020-03-29,Buenos Aires,185.0,9.0
2926,2020-03-29,Tucumán,11.0,1.0
1405,2020-03-29,La Pampa,4.0,1.0
1074,2020-03-30,Entre Ríos,12.0,2.0
272,2020-03-30,CABA,298.0,6.0
905,2020-03-30,Córdoba,100.0,1.0
2927,2020-03-30,Tucumán,20.0,1.0
2377,2020-03-30,San Luis,5.0,1.0
1859,2020-03-30,Neuquén,17.0,1.0
526,2020-03-30,Chaco,45.0,1.0
12,2020-03-30,Buenos Aires,258.0,5.0
13,2020-03-31,Buenos Aires,254.0,7.0
852,2020-03-31,Corrientes,6.0,1.0
273,2020-03-31,CABA,242.0,6.0
1469,2020-03-31,La Rioja,8.0,1.0
2565,2020-03-31,Santa Fe,74.0,1.0
1406,2020-03-31,La Pampa,1.0,1.0
527,2020-03-31,Chaco,30.0,1.0
2928,2020-04-01,Tucumán,27.0,1.0
528,2020-04-01,Chaco,34.0,2.0
2727,2020-04-01,Santiago del Estero,1.0,1.0
274,2020-04-01,CABA,347.0,4.0
2566,2020-04-01,Santa Fe,93.0,2.0
1994,2020-04-01,Río Negro,17.0,1.0
14,2020-04-01,Buenos Aires,353.0,6.0
1593,2020-04-01,Mendoza,19.0,2.0
1594,2020-04-02,Mendoza,14.0,2.0
15,2020-04-02,Buenos Aires,316.0,11.0
529,2020-04-02,Chaco,32.0,1.0
2567,2020-04-02,Santa Fe,74.0,1.0
2728,2020-04-02,Santiago del Estero,2.0,1.0
275,2020-04-03,CABA,326.0,5.0
16,2020-04-03,Buenos Aires,320.0,10.0
2568,2020-04-03,Santa Fe,100.0,1.0
2569,2020-04-04,Santa Fe,75.0,1.0
17,2020-04-04,Buenos Aires,310.0,4.0
276,2020-04-04,CABA,311.0,14.0
1595,2020-04-04,Mendoza,21.0,2.0
277,2020-04-05,CABA,257.0,8.0
18,2020-04-05,Buenos Aires,296.0,17.0
906,2020-04-05,Córdoba,111.0,1.0
1596,2020-04-05,Mendoza,14.0,1.0
530,2020-04-06,Chaco,33.0,2.0
1860,2020-04-06,Neuquén,18.0,1.0
278,2020-04-06,CABA,313.0,11.0
907,2020-04-06,Córdoba,129.0,2.0
1075,2020-04-06,Entre Ríos,17.0,1.0
19,2020-04-06,Buenos Aires,332.0,13.0
1076,2020-04-07,Entre Ríos,10.0,1.0
1995,2020-04-07,Río Negro,20.0,1.0
279,2020-04-07,CABA,301.0,5.0
1597,2020-04-07,Mendoza,22.0,2.0
2570,2020-04-07,Santa Fe,61.0,1.0
20,2020-04-07,Buenos Aires,338.0,10.0
1861,2020-04-08,Neuquén,13.0,1.0
1077,2020-04-08,Entre Ríos,10.0,2.0
280,2020-04-08,CABA,306.0,9.0
2571,2020-04-08,Santa Fe,73.0,1.0
2818,2020-04-08,Tierra del Fuego,16.0,1.0
21,2020-04-08,Buenos Aires,355.0,13.0
531,2020-04-08,Chaco,52.0,1.0
2929,2020-04-08,Tucumán,18.0,1.0
1078,2020-04-09,Entre Ríos,20.0,1.0
2572,2020-04-09,Santa Fe,72.0,3.0
2729,2020-04-09,Santiago del Estero,4.0,1.0
22,2020-04-09,Buenos Aires,330.0,13.0
1996,2020-04-09,Río Negro,27.0,2.0
1775,2020-04-09,Misiones,6.0,1.0
853,2020-04-09,Corrientes,1.0,1.0
281,2020-04-09,CABA,269.0,18.0
23,2020-04-10,Buenos Aires,469.0,10.0
1079,2020-04-10,Entre Ríos,16.0,5.0
1776,2020-04-10,Misiones,3.0,3.0
282,2020-04-10,CABA,356.0,5.0
24,2020-04-11,Buenos Aires,364.0,8.0
2930,2020-04-11,Tucumán,23.0,2.0
532,2020-04-11,Chaco,60.0,1.0
2174,2020-04-11,Salta,6.0,2.0
908,2020-04-11,Córdoba,129.0,1.0
1080,2020-04-11,Entre Ríos,12.0,1.0
283,2020-04-11,CABA,297.0,9.0
1470,2020-04-11,La Rioja,10.0,1.0
25,2020-04-12,Buenos Aires,420.0,14.0
1598,2020-04-12,Mendoza,20.0,1.0
284,2020-04-12,CABA,336.0,6.0
285,2020-04-13,CABA,326.0,7.0
1471,2020-04-13,La Rioja,10.0,2.0
1599,2020-04-13,Mendoza,23.0,2.0
1997,2020-04-13,Río Negro,28.0,1.0
26,2020-04-13,Buenos Aires,509.0,14.0
533,2020-04-13,Chaco,68.0,1.0
909,2020-04-13,Córdoba,150.0,2.0
2175,2020-04-14,Salta,4.0,1.0
27,2020-04-14,Buenos Aires,494.0,11.0
1081,2020-04-14,Entre Ríos,10.0,2.0
286,2020-04-14,CABA,351.0,9.0
1600,2020-04-14,Mendoza,16.0,2.0
534,2020-04-14,Chaco,41.0,2.0
1601,2020-04-15,Mendoza,21.0,1.0
753,2020-04-15,Chubut,1.0,1.0
2573,2020-04-15,Santa Fe,69.0,1.0
910,2020-04-15,Córdoba,157.0,2.0
1082,2020-04-15,Entre Ríos,12.0,1.0
1407,2020-04-15,La Pampa,3.0,1.0
287,2020-04-15,CABA,397.0,16.0
535,2020-04-15,Chaco,49.0,4.0
28,2020-04-15,Buenos Aires,570.0,13.0
1602,2020-04-16,Mendoza,18.0,2.0
288,2020-04-16,CABA,381.0,12.0
2574,2020-04-16,Santa Fe,85.0,1.0
1408,2020-04-16,La Pampa,3.0,1.0
1083,2020-04-16,Entre Ríos,12.0,1.0
536,2020-04-16,Chaco,44.0,1.0
29,2020-04-16,Buenos Aires,588.0,14.0
1777,2020-04-16,Misiones,4.0,1.0
911,2020-04-16,Córdoba,127.0,3.0
2931,2020-04-17,Tucumán,34.0,1.0
1472,2020-04-17,La Rioja,17.0,1.0
30,2020-04-17,Buenos Aires,616.0,13.0
289,2020-04-17,CABA,392.0,14.0
1084,2020-04-18,Entre Ríos,22.0,3.0
31,2020-04-18,Buenos Aires,605.0,19.0
1603,2020-04-18,Mendoza,10.0,1.0
1778,2020-04-18,Misiones,1.0,1.0
290,2020-04-18,CABA,370.0,4.0
32,2020-04-19,Buenos Aires,560.0,14.0
912,2020-04-19,Córdoba,103.0,1.0
2575,2020-04-19,Santa Fe,90.0,3.0
537,2020-04-19,Chaco,43.0,3.0
291,2020-04-19,CABA,353.0,10.0
1085,2020-04-19,Entre Ríos,12.0,1.0
1604,2020-04-19,Mendoza,16.0,3.0
754,2020-04-19,Chubut,1.0,1.0
1998,2020-04-19,Río Negro,33.0,1.0
913,2020-04-20,Córdoba,190.0,2.0
538,2020-04-20,Chaco,83.0,1.0
1086,2020-04-20,Entre Ríos,22.0,4.0
1862,2020-04-20,Neuquén,18.0,1.0
1409,2020-04-20,La Pampa,3.0,1.0
292,2020-04-20,CABA,465.0,10.0
1999,2020-04-20,Río Negro,43.0,2.0
33,2020-04-20,Buenos Aires,832.0,11.0
914,2020-04-21,Córdoba,138.0,1.0
2819,2020-04-21,Tierra del Fuego,18.0,1.0
1605,2020-04-21,Mendoza,18.0,1.0
34,2020-04-21,Buenos Aires,548.0,14.0
1863,2020-04-21,Neuquén,23.0,1.0
293,2020-04-21,CABA,390.0,10.0
539,2020-04-21,Chaco,47.0,3.0
755,2020-04-21,Chubut,5.0,1.0
1087,2020-04-21,Entre Ríos,14.0,3.0
2932,2020-04-21,Tucumán,35.0,1.0
1473,2020-04-21,La Rioja,8.0,2.0
915,2020-04-22,Córdoba,155.0,1.0
1088,2020-04-22,Entre Ríos,13.0,1.0
35,2020-04-22,Buenos Aires,606.0,21.0
540,2020-04-22,Chaco,43.0,1.0
294,2020-04-22,CABA,411.0,10.0
1474,2020-04-22,La Rioja,7.0,1.0
1779,2020-04-23,Misiones,1.0,1.0
916,2020-04-23,Córdoba,155.0,1.0
541,2020-04-23,Chaco,38.0,1.0
1089,2020-04-23,Entre Ríos,9.0,1.0
1606,2020-04-23,Mendoza,17.0,3.0
36,2020-04-23,Buenos Aires,600.0,18.0
2576,2020-04-23,Santa Fe,82.0,1.0
295,2020-04-23,CABA,390.0,10.0
1864,2020-04-24,Neuquén,18.0,1.0
917,2020-04-24,Córdoba,155.0,1.0
1090,2020-04-24,Entre Ríos,19.0,1.0
296,2020-04-24,CABA,450.0,13.0
2000,2020-04-24,Río Negro,28.0,1.0
37,2020-04-24,Buenos Aires,611.0,16.0
542,2020-04-24,Chaco,35.0,2.0
38,2020-04-25,Buenos Aires,541.0,12.0
2001,2020-04-25,Río Negro,25.0,1.0
543,2020-04-25,Chaco,44.0,1.0
2577,2020-04-25,Santa Fe,67.0,3.0
918,2020-04-25,Córdoba,105.0,1.0
297,2020-04-25,CABA,381.0,13.0
1410,2020-04-25,La Pampa,1.0,1.0
39,2020-04-26,Buenos Aires,567.0,15.0
298,2020-04-26,CABA,378.0,9.0
2578,2020-04-26,Santa Fe,59.0,1.0
299,2020-04-27,CABA,441.0,13.0
2579,2020-04-27,Santa Fe,75.0,1.0
544,2020-04-27,Chaco,50.0,1.0
40,2020-04-27,Buenos Aires,599.0,29.0
2454,2020-04-27,Santa Cruz,5.0,1.0
2002,2020-04-27,Río Negro,41.0,1.0
919,2020-04-27,Córdoba,153.0,3.0
1865,2020-04-27,Neuquén,15.0,1.0
2933,2020-04-27,Tucumán,21.0,1.0
1607,2020-04-27,Mendoza,11.0,2.0
1091,2020-04-27,Entre Ríos,10.0,1.0
