,date,cases,deaths
0,2020-01-01,11,0.0
1,2020-01-02,3,0.0
2,2020-01-03,4,0.0
3,2020-01-04,1,0.0
4,2020-01-05,3,0.0
5,2020-01-06,2,0.0
6,2020-01-07,1,0.0
7,2020-01-08,1,0.0
8,2020-01-09,1,0.0
9,2020-01-10,1,0.0
10,2020-01-11,4,0.0
11,2020-01-12,4,0.0
12,2020-01-13,1,0.0
13,2020-01-15,4,0.0
14,2020-01-16,2,0.0
15,2020-01-17,5,0.0
16,2020-01-18,2,0.0
17,2020-01-19,1,0.0
18,2020-01-20,4,0.0
19,2020-01-21,4,0.0
20,2020-01-22,2,0.0
21,2020-01-23,1,0.0
22,2020-01-25,2,0.0
23,2020-01-26,4,0.0
24,2020-01-27,1,0.0
25,2020-01-28,3,0.0
26,2020-01-29,2,0.0
27,2020-01-30,10,0.0
28,2020-01-31,7,0.0
29,2020-02-01,23,0.0
30,2020-02-02,6,0.0
31,2020-02-03,2,0.0
32,2020-02-04,5,0.0
33,2020-02-05,5,0.0
34,2020-02-06,6,0.0
35,2020-02-07,4,0.0
36,2020-02-08,8,0.0
37,2020-02-09,9,0.0
38,2020-02-10,13,0.0
39,2020-02-11,5,0.0
40,2020-02-12,2,0.0
41,2020-02-13,8,0.0
42,2020-02-14,5,0.0
43,2020-02-15,10,0.0
44,2020-02-16,6,0.0
45,2020-02-17,4,0.0
46,2020-02-18,9,0.0
47,2020-02-19,6,0.0
48,2020-02-20,19,0.0
49,2020-02-21,14,0.0
50,2020-02-22,17,0.0
51,2020-02-23,11,0.0
52,2020-02-24,11,0.0
53,2020-02-25,19,0.0
54,2020-02-26,25,0.0
55,2020-02-27,21,0.0
56,2020-02-28,31,0.0
57,2020-02-29,18,0.0
58,2020-03-01,53,0.0
59,2020-03-02,63,0.0
60,2020-03-03,58,0.0
61,2020-03-04,58,0.0
62,2020-03-05,73,0.0
63,2020-03-06,91,0.0
64,2020-03-07,93,1.0
65,2020-03-08,114,0.0
66,2020-03-09,184,1.0
67,2020-03-10,205,1.0
68,2020-03-11,203,0.0
69,2020-03-12,273,2.0
70,2020-03-13,258,2.0
71,2020-03-14,280,2.0
72,2020-03-15,379,2.0
73,2020-03-16,429,1.0
74,2020-03-17,387,4.0
75,2020-03-18,380,1.0
76,2020-03-19,446,5.0
77,2020-03-20,671,1.0
78,2020-03-21,580,2.0
79,2020-03-22,512,3.0
80,2020-03-23,675,2.0
81,2020-03-24,587,9.0
82,2020-03-25,680,11.0
83,2020-03-26,578,15.0
84,2020-03-27,649,14.0
85,2020-03-28,642,18.0
86,2020-03-29,665,17.0
87,2020-03-30,932,18.0
88,2020-03-31,794,18.0
89,2020-04-01,1117,19.0
90,2020-04-02,913,16.0
91,2020-04-03,1048,16.0
92,2020-04-04,996,21.0
93,2020-04-05,905,27.0
94,2020-04-06,1049,30.0
95,2020-04-07,1024,20.0
96,2020-04-08,1045,29.0
97,2020-04-09,1023,40.0
98,2020-04-10,1356,23.0
99,2020-04-11,1101,25.0
100,2020-04-12,1183,22.0
101,2020-04-13,1328,29.0
102,2020-04-14,1261,27.0
103,2020-04-15,1441,40.0
104,2020-04-16,1402,36.0
105,2020-04-17,1492,29.0
106,2020-04-18,1395,28.0
107,2020-04-19,1312,37.0
108,2020-04-20,1890,32.0
109,2020-04-21,1401,38.0
110,2020-04-22,1471,35.0
111,2020-04-23,1427,36.0
112,2020-04-24,1512,35.0
113,2020-04-25,1274,32.0
114,2020-04-26,1294,25.0
115,2020-04-27,1480,54.0
116,2020-04-28,1375,39.0
117,2020-04-29,1153,28.0
118,2020-04-30,1325,31.0
119,2020-05-01,1554,41.0
120,2020-05-02,1244,27.0
121,2020-05-03,1306,33.0
122,2020-05-04,1440,30.0
123,2020-05-05,1449,23.0
124,2020-05-06,1376,29.0
125,2020-05-07,1444,37.0
126,2020-05-08,1487,26.0
127,2020-05-09,1434,35.0
128,2020-05-10,1823,40.0
129,2020-05-11,1867,37.0
130,2020-05-12,1782,31.0
131,2020-05-13,1739,34.0
132,2020-05-14,1785,28.0
133,2020-05-15,2158,38.0
134,2020-05-16,1894,39.0
135,2020-05-17,1993,32.0
136,2020-05-18,2573,35.0
137,2020-05-19,2145,26.0
138,2020-05-20,2733,49.0
139,2020-05-21,2007,39.0
140,2020-05-22,2229,47.0
141,2020-05-23,2176,25.0
142,2020-05-24,2173,39.0
143,2020-05-25,2686,49.0
144,2020-05-26,2608,41.0
145,2020-05-27,2386,33.0
146,2020-05-28,2405,46.0
147,2020-05-29,2307,38.0
148,2020-05-30,2190,47.0
149,2020-05-31,2001,41.0
150,2020-06-01,3562,51.0
151,2020-06-02,2743,47.0
152,2020-06-03,2847,55.0
153,2020-06-04,2864,60.0
154,2020-06-05,3030,55.0
155,2020-06-06,3029,57.0
156,2020-06-07,2969,52.0
157,2020-06-08,3709,76.0
158,2020-06-09,3453,47.0
159,2020-06-10,4228,63.0
160,2020-06-11,3471,60.0
161,2020-06-12,3997,51.0
162,2020-06-13,3673,54.0
163,2020-06-14,3857,78.0
164,2020-06-15,4799,67.0
165,2020-06-16,5052,74.0
166,2020-06-17,4491,76.0
167,2020-06-18,4626,69.0
168,2020-06-19,4765,70.0
169,2020-06-20,5718,64.0
170,2020-06-21,4556,80.0
171,2020-06-22,5729,85.0
172,2020-06-23,5070,86.0
173,2020-06-24,4926,79.0
174,2020-06-25,4879,75.0
175,2020-06-26,5254,102.0
176,2020-06-27,4592,106.0
177,2020-06-28,4629,90.0
178,2020-06-29,5322,78.0
179,2020-06-30,4913,104.0
180,2020-07-01,6628,131.0
181,2020-07-02,4950,115.0
182,2020-07-03,5549,108.0
183,2020-07-04,4969,131.0
184,2020-07-05,5212,158.0
185,2020-07-06,6032,116.0
186,2020-07-07,6040,129.0
187,2020-07-08,5664,171.0
188,2020-07-09,5544,144.0
189,2020-07-10,7142,174.0
190,2020-07-11,5697,167.0
191,2020-07-12,6338,149.0
192,2020-07-13,7607,169.0
193,2020-07-14,7064,183.0
194,2020-07-15,7697,193.0
195,2020-07-16,6809,165.0
196,2020-07-17,7549,182.0
197,2020-07-18,7371,204.0
198,2020-07-19,7094,193.0
199,2020-07-20,10744,197.0
200,2020-07-21,7556,217.0
201,2020-07-22,7462,209.0
202,2020-07-23,7265,175.0
203,2020-07-24,7587,206.0
204,2020-07-25,7952,177.0
205,2020-07-26,7839,206.0
206,2020-07-27,9863,235.0
207,2020-07-28,8418,222.0
208,2020-07-29,7946,238.0
209,2020-07-30,8137,231.0
210,2020-07-31,8637,218.0
211,2020-08-01,11885,210.0
212,2020-08-02,9588,263.0
213,2020-08-03,11686,248.0
214,2020-08-04,10039,230.0
215,2020-08-05,9746,247.0
216,2020-08-06,9286,266.0
217,2020-08-07,9861,234.0
218,2020-08-08,9627,229.0
219,2020-08-09,8900,239.0
220,2020-08-10,12711,265.0
221,2020-08-11,9198,217.0
222,2020-08-12,9470,258.0
223,2020-08-13,8888,259.0
224,2020-08-14,9300,263.0
225,2020-08-15,9404,244.0
226,2020-08-16,9084,252.0
227,2020-08-17,10803,280.0
228,2020-08-18,11441,300.0
229,2020-08-19,9916,279.0
230,2020-08-20,12669,248.0
231,2020-08-21,10633,258.0
232,2020-08-22,10520,280.0
233,2020-08-23,11135,254.0
234,2020-08-24,13691,339.0
235,2020-08-25,12698,302.0
236,2020-08-26,11822,264.0
237,2020-08-27,11473,282.0
238,2020-08-28,13096,297.0
239,2020-08-29,10220,301.0
240,2020-08-30,11444,296.0
241,2020-08-31,13174,326.0
242,2020-09-01,15178,346.0
243,2020-09-02,12438,328.0
244,2020-09-03,11893,362.0
245,2020-09-04,12456,369.0
246,2020-09-05,12410,335.0
247,2020-09-06,11783,347.0
248,2020-09-07,14911,381.0
249,2020-09-08,13033,366.0
250,2020-09-09,12322,390.0
251,2020-09-10,13444,366.0
252,2020-09-11,11494,370.0
253,2020-09-12,11621,311.0
254,2020-09-13,11815,364.0
255,2020-09-14,14104,390.0
256,2020-09-15,13431,387.0
257,2020-09-16,11890,384.0
258,2020-09-17,11287,404.0
259,2020-09-18,12551,385.0
260,2020-09-19,11938,378.0
261,2020-09-20,14484,346.0
262,2020-09-21,13966,400.0
263,2020-09-22,12519,383.0
264,2020-09-23,12556,410.0
265,2020-09-24,12186,387.0
266,2020-09-25,13223,425.0
267,2020-09-26,12333,397.0
268,2020-09-27,12825,380.0
269,2020-09-28,15728,392.0
270,2020-09-29,13180,360.0
271,2020-09-30,12387,415.0
272,2020-10-01,14899,394.0
273,2020-10-02,13122,375.0
274,2020-10-03,12819,344.0
275,2020-10-04,12350,370.0
276,2020-10-05,15992,390.0
277,2020-10-06,13884,373.0
278,2020-10-07,13270,379.0
279,2020-10-08,13343,423.0
280,2020-10-09,13774,425.0
281,2020-10-10,16506,348.0
282,2020-10-11,12435,321.0
283,2020-10-12,15972,329.0
284,2020-10-13,15798,388.0
285,2020-10-14,14685,389.0
286,2020-10-15,14503,363.0
287,2020-10-16,14134,335.0
288,2020-10-17,12735,330.0
289,2020-10-18,14025,401.0
290,2020-10-19,16353,398.0
291,2020-10-20,16808,381.0
292,2020-10-21,12830,371.0
293,2020-10-22,12241,332.0
294,2020-10-23,12579,361.0
295,2020-10-24,11953,366.0
296,2020-10-25,12994,350.0
297,2020-10-26,14705,344.0
298,2020-10-27,12889,345.0
299,2020-10-28,11640,337.0
300,2020-10-29,10360,312.0
301,2020-10-30,11232,299.0
302,2020-10-31,9216,302.0
303,2020-11-01,12802,315.0
304,2020-11-02,12858,336.0
305,2020-11-03,11205,323.0
306,2020-11-04,10412,291.0
307,2020-11-05,9886,311.0
308,2020-11-06,9955,285.0
309,2020-11-07,9694,258.0
310,2020-11-08,10088,271.0
311,2020-11-09,11874,271.0
312,2020-11-10,11595,275.0
313,2020-11-11,9301,266.0
314,2020-11-12,8722,223.0
315,2020-11-13,9090,228.0
316,2020-11-14,8448,222.0
317,2020-11-15,9416,198.0
318,2020-11-16,10213,253.0
319,2020-11-17,8898,243.0
320,2020-11-18,7431,216.0
321,2020-11-19,6283,160.0
322,2020-11-20,7163,131.0
323,2020-11-21,5234,132.0
324,2020-11-22,5395,127.0
325,2020-11-23,5481,139.0
326,2020-11-24,4454,141.0
327,2020-11-25,2489,87.0
328,2020-11-26,985,92.0
329,2020-11-27,155,30.0
